date,total_rides
2022-10-31,96458
2022-11-01,103775
2022-11-02,117444
2022-11-03,116776
2022-11-04,118788
2022-11-05,122101
2022-11-06,103297
2022-11-07,107226
2022-11-08,96598
2022-11-09,95500
2022-11-10,109046
2022-11-11,54871
2022-11-12,113802
2022-11-13,69264
2022-11-14,73998
2022-11-15,64512
2022-11-16,76960
2022-11-17,78388
2022-11-18,73521
2022-11-19,59493
2022-11-20,45018
2022-11-21,59696
2022-11-22,74006
2022-11-23,73869
2022-11-24,37888
2022-11-25,43128
2022-11-26,59617
2022-11-27,34622
2022-11-28,73068
2022-11-29,75411
2022-11-30,54667
2022-12-01,73173
2022-12-02,74951
2022-12-03,45429
2022-12-04,62606
2022-12-05,73891
2022-12-06,52639
2022-12-07,74044
2022-12-08,89347
2022-12-09,76825
2022-12-10,63441
2022-12-11,32718
2022-12-12,59960
2022-12-13,65507
2022-12-14,67388
2022-12-15,44106
2022-12-16,28414
2022-12-17,59369
2022-12-18,48245
2022-12-19,54328
2022-12-20,58639
2022-12-21,59180
2022-12-22,39131
2022-12-23,26043
2022-12-24,11542
2022-12-25,9164
2022-12-26,19221
2022-12-27,33044
2022-12-28,44027
2022-12-29,51674
2022-12-30,62298
2022-12-31,31466
